# source	term	english
# source\tterm\tenglish\nI2Languages (I2.Loc.LanguageSourceAsset)	UI/Blueprint	Blueprint
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWallLamp	This kind of lamp is supposedly perfect for use in underground shelters.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWardrobe	Hide something in it or turn it into wood.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWardrobe2	Hide something in it or turn it into wood.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWardrobe3	Hide something in it or turn it into wood.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWater	This is the basic unit of water. It will make your plants happy.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWaterMachine	This wonder of modern technology will collect water for you.\n
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWatertank	You can put it wherever you like and fill it with plenty of water.\nWhen a drought comes, it can be your main source of water.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWinterClothes	This clothing will keep you warm in difficult conditions.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWolf Skin	Now you can be a sheep in wolf's skin! Use the pelt to craft warm clothes.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWood	Basic material. There is plenty of it in the forest.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWooden Chest	Designed to hide your treasures.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWoodenChest	Designed to hide your treasures.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWoodenPallet	Another source of wood. 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkbench	Lets you create and disassemble items.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkbench level 1	Lets you create and disassemble items.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkbench level 2	Lets you create and disassemble items.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkbench level 3	Lets you create and disassemble items.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkbench level 4	Lets you create and disassemble items.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkshop shelf large	Perfect for stacking all your stuff in the bunker.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWorkshop shelf small	Perfect for stacking all your stuff in the bunker.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyZielarka	--
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyZielarkaProto	--
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeybeartrap	Set them in the forest to get fresh meat.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyelectricity box	The electricity meter shows current power levels in your home and in the bunker.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeypillarHolder	Used for traveling between forest areas. Needs to be repaired first.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DieselBarrel1	Fuel Barrel
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Electronics	Electronics
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Field Ration	Field Ration
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Field Ration Big	Big Field Ration
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Flower	Plant
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Flower2	Plant
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Freezer	Freezer
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Fridge	Fridge
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Fuel	Fuel
I2Languages (I2.Loc.LanguageSourceAsset)	Items/GasolineBarrel	Fuel Barrel
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Generator	Generator
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Glass	Glass
I2Languages (I2.Loc.LanguageSourceAsset)	Items/GreenHouse	Greenhouse
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Ground	Ground
I2Languages (I2.Loc.LanguageSourceAsset)	Items/HuntingClothes	Hunting Clothes
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Kettle	Kettle
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenHood	Kitchen Hood
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenWardrobe2	Kitchen Cupboard
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenWardrobe3	Kitchen Cupboard
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenWardrobe4	Kitchen Cupboard
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenWardrobe5	Kitchen Cupboard
I2Languages (I2.Loc.LanguageSourceAsset)	Items/KitchenWardrobe_M	Kitchen Cupboard
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Ladder	Ladder
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Lamp	Lamp
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Lettuce	Cabbage
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Lever	Lever
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Log	Log
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Loona Tuna	Loona Tuna
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MailBox	Mailbox
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Manhole	Manhole
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat	Meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Metal	Metal
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MinerHelmet	Miner Helmet
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Money	Money
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Newspaper	Newspaper
I2Languages (I2.Loc.LanguageSourceAsset)	Items/OilBarrel1	Oil Barrel
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Orange	Orange
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pan	Pan
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Phone	Phone
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Picture1	Canvas
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Plastic	Plastic
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Plate Green	Green Plate
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Plate Red	Red Plate
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Plate White	White Plate
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pot Green	Green Pot
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pot Main	Blue Pot
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pot Red	Red Pot
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Radio	Radio
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Rafinery	Refinery
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Revolver	Revolver
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Rifle	Rifle
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RocketPlan	Rocket Plan
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SaltPepper	Salt
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Apple	Apple Seed
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Carrot	Carrot Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Corn	Corn Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Lettuce	Cabbage Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Orange	Orange Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Tomato	Tomato Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Turnip	Beet Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Shelf	Shelf
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Sink	Sink
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Sofa	Sofa
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Soup	Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Stone	Stone
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Stove	Stove
I2Languages (I2.Loc.LanguageSourceAsset)	Items/TEST	TEST
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Table	Table
I2Languages (I2.Loc.LanguageSourceAsset)	Items/TestSeed	TestSeed
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Textile	Textile
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Tomato	Tomato
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Towel1	Towel
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Trashpaper	Waste Paper
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Tree Patch	Tree Patch
I2Languages (I2.Loc.LanguageSourceAsset)	Items/TreePatch	Planter
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Turnip	Beet
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wall Lamp	Wall Lamp
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WallLamp	Wall Lamp
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wardrobe	Wardrobe
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wardrobe2	Wardrobe
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wardrobe3	Wardrobe
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Water	Water
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WaterMachine	Waterloo 1815
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Watertank	Water Tank
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WinterClothes	Warm Clothes
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wolf Skin	Wolf Skin
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wood	Wood
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Wooden Chest	Wooden Chest
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WoodenChest	Wooden Chest
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WoodenPallet	Wooden Pallet
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workbench	Workbench
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workbench level 1	Workbench level 1
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workbench level 2	Workbench level 2
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workbench level 3	Workbench level 3
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workbench level 4	Workbench level 4
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workshop shelf large	Workshop shelf - large
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Workshop shelf small	Workshop shelf - small
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Zielarka	Zielarka
I2Languages (I2.Loc.LanguageSourceAsset)	Items/ZielarkaProto	ZielarkaProto
I2Languages (I2.Loc.LanguageSourceAsset)	Items/beartrap	Bear Trap
I2Languages (I2.Loc.LanguageSourceAsset)	Items/electricity box	Electric Box
I2Languages (I2.Loc.LanguageSourceAsset)	Items/pillarHolder	Ropeway Pillar
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradeBox	Place an upgrade module in it to upgrade a room.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradeBox	Room Upgrade Box
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SignHome	Sign
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySignHome	Use it to travel to other locations.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Sign	Sign
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySign	Use it to travel.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MiningMachine	Mining Machine
I2Languages (I2.Loc.LanguageSourceAsset)	Items/UraniumMiningMachine	Mining Machine
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMiningMachine	Fill it with fuel and it will mine for you.\nCome back later to collect the spoil.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MiningTrolley	Mining Trolley
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMiningTrolley	Used to store items from the Mining Machine
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Amo	Ammo
I2Languages (I2.Loc.LanguageSourceAsset)	Items/AnimalPart1	Feathers
I2Languages (I2.Loc.LanguageSourceAsset)	Items/AnimalPart2	Tusk
I2Languages (I2.Loc.LanguageSourceAsset)	Items/AnimalPart3	Racoon Tail
I2Languages (I2.Loc.LanguageSourceAsset)	Items/AnimalPart4	Fox Tail
I2Languages (I2.Loc.LanguageSourceAsset)	Items/AnimalPart5	Antlers
I2Languages (I2.Loc.LanguageSourceAsset)	Items/BasicBait	Basic Bait
I2Languages (I2.Loc.LanguageSourceAsset)	Items/BigGameBait	Big Game Bait
I2Languages (I2.Loc.LanguageSourceAsset)	Items/BlueberryJam	Blueberry Jam
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Cactus	Cactus
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CactusJam	Cactus Jam
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Cake	Pie
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CannedSoup	Canned Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CannedStaw	Canned Stew
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CarrotJam	Carrot Jam
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Chicken	Chicken
I2Languages (I2.Loc.LanguageSourceAsset)	Items/ChineseSoup	Instant Ramen
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CookBook1	Cook Book I
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CookBook2	Cook Book II
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CookBook3	Cook Book III
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Cucumber	Cucumber
I2Languages (I2.Loc.LanguageSourceAsset)	Items/CucumberSoup	Cucumber Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DearMeat	Haunch of meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyBlueberryJam	Blueberry jam, just like from grandma. It will satisfy your hunger and provide you with energy at the same time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCactus	Prickly but tasty - if done properly.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCactusJam	A delicious jam made of cactuses. Or is it cacti? It will satisfy your hunger and provide you with energy at the same time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCake	Maybe you'd be happy for a while. It will satisfy your hunger and provide you with energy at the same time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCannedSoup	A can so beautiful you want to paint it. And the soup will last longer in it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCannedStaw	The stew will last longer in a can.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCarrotJam	Give carrot jam a chance, it's not only baby food. It will satisfy your hunger and provide you with energy at the same time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyChicken	Tastes like chicken!
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyChineseSoup	An international classic. It can last long and is very filling.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCucumber	A cucumber. Don't underestimate it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyCucumberSoup	Cucumber soup. Try it and you'll never go back.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDearMeat	Would you eat Bambi if he was seasoned really well?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDriedApple	Keeps the doctor away even after season. Dried food lasts longer.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDriedBerries	Dried berries from the local forest. Dried food lasts longer.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDriedMeat	Dried meat. Dried food lasts longer.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDriedOrange	Dried orange, not only for winter holidays. Dried food lasts longer.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyDriedTomatos	Dried tomatoes, an Italian classic. Dried food lasts longer.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyEgg	A symbol of life. Nutritional value is off the charts!
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyEggInSalt	A classic preppers' food. It can last a long time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyEnergyBar	Condensed energy in a bar. A temporary sleep replacement.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyFarmingWallLamp	Provides better light for growing plants underground.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyFlour	An essential cooking ingredient.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyFurnace	Can be used for melting certain materials. Put some stone or iron ore into it and see what happens.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyGondola	It has probably dropped from the ropeway. Maybe there's still something interesting inside?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyKimchi	Korean fermented cabbage. A touch of Orient in your shelter.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMarinatedCorn	Marinated corn. A snack that can also serve as a proper meal.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMarinatedMushroom	Magic from the forest put in a jar. Enjoy all year long.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMeatPie	Emulate the atmosphere of an English pub in your shelter. A hearty meal.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMeatStew	A hearty meat stew. Heavy, but very high caloric.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMushroom	You're sure it's an edible kind of mushroom, are you?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyMushroomSoup	A mushroom soup. Sour with a hint of damp basement.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyNopales	A meal made of cactuses. Cacti. Anyway: delicious.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyOil	Put it in a refinery to convert it into fuel.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyOmelette	They say you can't unscramble it, so why not eat it?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyOrangeJam	Orange jam, reminding you of all the tropical travels you never had. It will satisfy your hunger and provide you with energy at the same time.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyPasta	Delicious. Don't forget to kiss your fingers before serving.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyPate	A simple but tasty pate.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyPemmican	A highly nutritious meal made of dried meat and berries. Invented by Native Americans, loved also by preppers.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyPickaxe	May be useful for opening some blocked pathways in the mines.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyPickles	Can't go wrong with pickles, right?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRainWaterCollector	It's a bucket. Place it outside during rain to collect extra water.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRaport	A report from the Agent. Hope it's positive.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRatMeat	Not exactly a delicacy, but it doesn't deserve the bad reputation.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoastedRat	Quite good. Goes well with white wine and sour sides.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoastedTurkey	A big bird, supposedly perfect for celebrating colonization.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomSoil	Quality soil for growing plants in your bunker.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradeFactory	Crafting things is faster thanks to this upgrade.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradeFreezer	This upgrade will make the room perfect for storing food.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradeGreenHouse	With this room upgrade, your plants will grow faster. Place it in a room upgrade box.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradePowerhouse	With this upgrade, the generator will work better in this room.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoomUpgradePumphouse	Installs an extended water supply in a room. Can be used for collecting water more effectively (with buckets or Waterloo).
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySeed Sunflower	Put into a planter to grow sunflowers.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySimpleTrap	A simple trap for catching some innocent critters.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySnakeMeat	Someone not only treaded on this one, but also chopped it to pieces.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyRoastedSnakeMeat	Someone not only treaded on this one, but also ROASTED it! [MUST-EAT] 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySnakeStew	It's not venomous anymore, but it doesn't mean it's easy on the stomach.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySpaghetii	Pasta with sauce. Essential for long isolation, be sure to stack up properly.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySpices	These make your life in the shelter a bit more diverse.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySteamGenerator	Great source of electricity. Uses wood as fuel.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySugar	To sweeten your life full of hardship.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeySunflower	Delicious, but not very nourishing. Maybe it could sell well?
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyTomatoSoup	Something makes you want to put it in a can and paint it.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyVegetableSoup	A classic. Not exciting, but hearty.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DesKeyWildMeat	Free-range meat. Don't eat it raw.
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DriedApple	Dried Apple
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DriedBerries	Dried Berries
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DriedMeat	Dried Meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DriedOrange	Dried Orange
I2Languages (I2.Loc.LanguageSourceAsset)	Items/DriedTomatos	Dried Tomatoes
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Dryier	Dryer
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Egg	Egg
I2Languages (I2.Loc.LanguageSourceAsset)	Items/EggInSalt	Eggs In Salt
I2Languages (I2.Loc.LanguageSourceAsset)	Items/EnergyBar	Energy Bar
I2Languages (I2.Loc.LanguageSourceAsset)	Items/ExoticBait	Exotic Bait
I2Languages (I2.Loc.LanguageSourceAsset)	Items/FarmingWallLamp	Farming Wall Lamp
I2Languages (I2.Loc.LanguageSourceAsset)	Items/FastBait	Fast Bait
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Flour	Flour
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Furnace	Furnace
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Gondola	Gondola
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Gondola2	Gondola
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Kimchi	Kimchi
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MarinatedCorn	Marinated Corn
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MarinatedMushroom	Marinated Mushroom
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat1	Meat1
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat2	Meat2
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat3	Meat3
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat4	Meat4
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Meat5	Meat5
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MeatPie	Meat Pie
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MeatStew	Meat Stew
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MiningPassOne	Mining Pass -2
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Mushroom	Mushroom
I2Languages (I2.Loc.LanguageSourceAsset)	Items/MushroomSoup	Mushroom Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Nopales	Nopales
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Oil	Oil
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Omelette	Omelette
I2Languages (I2.Loc.LanguageSourceAsset)	Items/OrangeJam	Orange Jam
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pasta	Pasta
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pate	Pate
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pemmican	Pemmican
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pickaxe	Pickaxe
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Pickles	Pickles
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RainWaterCollector	Bucket
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Raport	Agent's Report
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RatMeat	Rat Meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoastedRat	Roasted Rat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoastedTurkey	Roasted Chicken
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoastedTurkey2	Roasted Chicken
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomSoil	Soil patch
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradeFactory	Room Upgrade - Factory
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradeFreezer	Room Upgrade - Freezer
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradeGreenHouse	Room Upgrade - Greenhouse
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradePowerhouse	Room Upgrade - Powerhouse
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoomUpgradePumphouse	Room Upgrade - Pumphouse
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Cucumber	Cucumber Seed
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Seed Sunflower	Sunflower Seed 
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SimpleTrap	Simple Trap
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SnakeMeat	Snake Meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/RoastedSnakeMeat	Roasted Snake Meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SnakeStew	Snake Stew
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Spaghetii	Spaghetti
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Spices	Spices
I2Languages (I2.Loc.LanguageSourceAsset)	Items/SteamGenerator	Steam Generator
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Sugar	Sugar
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Sunflower	Sunflower
I2Languages (I2.Loc.LanguageSourceAsset)	Items/TomatoSoup	Tomato Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/VegetableSoup	Vegetable Soup
I2Languages (I2.Loc.LanguageSourceAsset)	Items/WildMeat	Slice of meat
I2Languages (I2.Loc.LanguageSourceAsset)	Items/Amethyst	Amethyst
I2Languages (I2.Loc.LanguageSourceAsset)	Items/ArtOfNegotiationBook1	Art of Negotiation
I2Languages (I2.Loc.LanguageSourceAsset)	Items/ArtOfNegotiationBook2	Art of Negotiation II
